,filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather
27568,005084.png,Car,0.0,207.81232,137.53061,371.4215,2.16,9.65,clone
27569,005084.png,Misc,918.8541,221.11075,1242.0,372.2758,2.16,9.91,clone
27570,005084.png,Car,890.4688,161.95891,1236.0171,294.4995,-0.82,12.26,clone
27571,005084.png,Cyclist,0.094764486,165.80655,96.72016,374.82434,2.05,6.92,clone
27572,005084.png,Car,780.48206,178.5897,980.2806,255.73492,-0.67,15.88,clone
27573,005084.png,Misc,815.9754,184.33691,1015.3162,271.3842,2.45,13.8,clone
27574,005084.png,Misc,982.11285,149.8162,1073.0835,216.08006,2.3,28.02,clone
27575,005084.png,Car,497.69608,190.04233,577.99524,240.81273,-1.75,21.85,clone
27576,005084.png,Car,397.67722,190.49963,455.0261,237.68024,-1.6,26.39,clone
27577,005084.png,Truck,382.70554,148.10037,451.73163,232.0427,-1.58,33.15,clone
16601,003065.png,Car,0.0,200.59573,302.78683,367.51117,-0.86,4.91,clone
16602,003065.png,Cyclist,992.24615,145.34753,1030.1808,213.71465,-1.6,21.25,clone
16603,003065.png,Pedestrian,1104.1001,141.37976,1146.3633,233.12059,-0.76,15.29,clone
16604,003065.png,Pedestrian,1133.3651,144.81458,1181.2325,243.78572,-0.76,14.84,clone
16605,003065.png,Car,547.8837,166.67091,673.20917,212.90329,0.64,24.69,clone
20215,003741.png,Car,274.68915,182.44408,374.82428,249.41747,1.88,19.36,clone
20216,003741.png,Car,406.1702,179.85663,443.81137,201.39667,1.74,52.93,clone
25470,004725.png,Car,593.2848,175.4591,616.48956,197.58357,-1.57,55.38,clone
25471,004725.png,Truck,624.8086,160.99545,655.2744,191.5176,-1.62,76.3,clone
25472,004725.png,Car,0.7642751,201.18361,119.949684,249.77304,2.23,29.49,clone
6304,001183.png,Car,0.19260858,182.99586,293.06287,371.78784,2.19,5.7,clone
6305,001183.png,Car,787.5944,190.87334,1242.0,372.2495,1.06,5.74,clone
6306,001183.png,Car,344.64603,176.38383,487.1737,272.28638,1.81,14.03,clone
6307,001183.png,Car,691.15625,188.52069,819.3246,277.12366,-1.75,14.22,clone
6308,001183.png,Car,656.2884,182.5433,719.0152,230.46156,1.47,24.38,clone
6309,001183.png,Car,472.4209,179.3207,534.3367,223.60207,1.68,25.0,clone
30834,005660.png,Car,854.82635,214.56989,1240.4133,371.7429,-2.19,5.33,clone
30835,005660.png,Car,728.70905,189.18623,956.2188,337.6449,-1.89,9.94,clone
30836,005660.png,Car,357.15344,184.26831,507.3411,300.58295,-1.37,12.23,clone
30837,005660.png,Van,698.4536,161.28453,828.0887,275.66052,-1.79,14.44,clone
30838,005660.png,Car,486.463,178.2687,552.67615,231.02791,1.66,23.04,clone
30839,005660.png,Car,648.47375,176.83363,691.19727,211.34628,-1.65,32.42,clone
30840,005660.png,Car,557.0686,175.00473,582.5039,197.52547,1.61,49.77,clone
39913,007355.png,Car,603.10736,179.12875,625.97363,199.83862,-1.58,52.28,clone
39914,007355.png,Car,1041.0795,99.03604,1241.5128,371.506,-2.58,3.84,clone
39915,007355.png,Car,718.4665,170.48091,886.42224,296.26752,-1.81,12.04,clone
39916,007355.png,Car,669.849,181.71263,733.37225,230.89005,-1.68,23.33,clone
39917,007355.png,Car,665.95245,179.01984,709.29443,219.65747,-1.71,28.42,clone
39918,007355.png,Car,648.1997,177.23697,681.34894,205.76862,-1.66,43.23,clone
39919,007355.png,Pedestrian,689.3183,170.21652,703.50494,204.61209,-1.69,43.1,clone
17525,003244.png,Car,173.48514,171.12758,247.37653,204.4515,2.1,43.21,clone
17526,003244.png,Car,241.96635,170.55173,297.71854,198.7911,-1.13,49.99,clone
17527,003244.png,Car,295.5608,173.41426,334.07593,193.70978,-1.18,56.9,clone
17528,003244.png,Car,583.90436,169.59589,639.72955,224.95532,-1.58,23.8,clone
17529,003244.png,Cyclist,738.20703,172.18701,749.43274,197.84985,-1.82,52.69,clone
13955,002594.png,Car,0.0,218.08604,338.90753,372.517,-0.96,4.54,clone
